1000	41099	251501	154757	52932
10000	14371	466261	307150	104347
20000	65	612576	498555	187617
50000	95	1540444	1261547	470128
100000	116	3073905	2498597	937240
200000	39	6022224	4862577	1840566
500000	51	15113318	12205466	4618954
